address_area_1,address_area_2,address_number,date,price,property_type
Glincool Villas,", ",9 ,2019-10-29,"€260,000",Second-Hand
Leslies Arch,", Old Quarter, ",102 ,2019-10-29,"€275,000",Second-Hand
Castlepark,", ",42 ,2019-10-28,"€185,000",Second-Hand
Oldcourt,", Greenfields, ",4 ,2019-10-25,"€433,000",Second-Hand
Millers Court,", Old Quarter, ",61 ,2019-10-25,"€399,999",New Build
Westcourt Heights,", ",63 ,2019-03-15,"€213,000",Second-Hand
Waltham Abbey,", Old Quarter, ",6 ,2019-03-15,"€600,000",Second-Hand
Poulavone,,", ",2019-03-15,"€325,000",Second-Hand
The Avenue,", Coolroe Heights, ",8 ,2019-03-15,"€266,000",Second-Hand
The Oaks,", Classis Lake, ",12 ,2019-03-14,"€368,000",Second-Hand
Leslies Arch,", Old Quarter, ",147 ,2019-03-14,"€260,000",Second-Hand
Greystones,", ",40 ,2018-12-14,"€280,000",Second-Hand
Woodview,", Fionn Laoi, ",12 ,2018-12-12,"€345,000",New Build
Silverwood,", Main Road, ",2 ,2018-12-07,"€255,000",Second-Hand
Millers Court,", Old Quarter, ",46 ,2018-12-05,"€410,000",Second-Hand
Millers Court,", Old Quarter, ",22 ,2018-12-05,"€355,000",Second-Hand
Cherry Walk,", Muskerry Estate, ",37 ,2018-12-05,"€258,000",Second-Hand
Powdermill Meadows,", East Side, ",4 ,2018-12-04,"€335,000",New Build
Millers Court,", Old Quarter, ",60 ,2020-02-18,"€400,000",New Build
Westgrove,", ",26 ,2020-02-14,"€205,666",Second-Hand
The Stables,", Coolroe, ",17 ,2020-02-10,"€352,000",Second-Hand
Aylsbury,", ",39 ,2020-02-10,"€300,000",Second-Hand
The Avenue,", Heathfield, ",10 ,2020-02-06,"€325,000",New Build
Leesdale Court,", ",16 ,2020-02-06,"€294,000",Second-Hand
Tara An Caisleain,", ","Apartment 1, ",2020-02-05,"€207,000",Second-Hand
Parknamore Rise,", ",21 ,2019-07-18,"€266,200",Second-Hand
Millers Court,", Old Quarter, ",59 ,2019-07-18,"€406,883",New Build
Fernwalk,", Greenfields, ",7 ,2019-07-15,"€630,000",Second-Hand
The Cloisters,", ",20 ,2019-07-12,"€280,000",Second-Hand
The Lawn,", Coolroe Meadows, ",35 ,2019-07-12,"€332,000",Second-Hand
The Cresent,", Old Fort Road, ",52 ,2019-07-10,"€253,000",Second-Hand
Parknamore Rise,", ",23 ,2019-07-10,"€265,000",Second-Hand
Woodbine Lawn,", Inniscarra View, ",15 ,2020-07-29,"€287,500",Second-Hand
Millers Court,", Old Quarter, ",71 ,2020-07-29,"€420,000",Second-Hand
Glincool Grove,", ",11 ,2020-07-28,"€273,000",Second-Hand
Hazel Grove,", ",3 ,2020-07-27,"€170,000",Second-Hand
Greystones,", ",21 ,2020-12-09,"€262,000",Second-Hand
Station Road,,", ",2020-12-09,"€310,000",Second-Hand
Daffodil Fields,", ",45 ,2020-12-09,"€373,000",Second-Hand
Distillery Court,", The Maltings, ",35 ,2020-12-07,"€205,000",Second-Hand
Coopers Grange,", Old Quarter, ",10 ,2018-03-26,"€280,000",Second-Hand
Millers Court,", Old Quarter, ",71 ,2018-03-22,"€384,820",New Build
Leslies Arch Old Quarter,", ",18 ,2018-03-18,"€190,000",Second-Hand
Aylsbury Avenue,", ",14 ,2018-03-16,"€345,000",Second-Hand
Willow Grove,", Coolroe Heights, ",47 ,2021-05-14,"€318,000",Second-Hand
The Willows,", ",199 ,2021-05-07,"€261,500",Second-Hand
An Caislean Heights,", ",157 ,2021-04-29,"€200,000",Second-Hand
Highfield Park,", ",7 ,2021-04-27,"€317,000",Second-Hand
Innishmore Grove,", ",35 ,2021-04-22,"€188,000",Second-Hand
Wyndham Downs,", ",43 ,2021-04-22,"€300,000",Second-Hand
Millers Court,", Old Quarter, ",62 ,2018-08-10,"€360,000",New Build
The Close,", Coolroe Meadows, ",34 ,2018-08-03,"€360,000",Second-Hand
The Cloisters,", ",26 ,2018-08-03,"€335,000",Second-Hand
Doire Loin,,", Greenfield, ",2018-07-27,"€550,000",Second-Hand
Millers Court,", Old Quarter, ",63 ,2018-07-27,"€350,000",New Build
Leslies Arch,", Old Quarter, ",81 ,2018-07-27,"€395,000",Second-Hand
Millers Court,", Old Quarter, ",64 ,2018-07-24,"€399,999",New Build
Woodview,", Fionn Laoi, ",30 ,2018-07-24,"€350,000",New Build
Kiermena,,", West Village, ",2019-10-25,"€540,000",Second-Hand
The Cloisters,", ",92 ,2019-10-24,"€270,000",Second-Hand
North East Quadrants,", ",168 ,2019-10-24,"€194,000",Second-Hand
Church View,", ",65 ,2019-03-12,"€227,500",Second-Hand
Avoncourt,", ",13 ,2019-03-11,"€330,000",Second-Hand
Coopers Grange,", Old Quarter, ",32b ,2019-03-11,"€255,000",New Build
Holly Road,", Muskerry Estate, ",19 ,2019-03-11,"€290,000",Second-Hand
Main Street,,", ",2018-12-03,"€120,000",Second-Hand
