country,skill_sets,top_skills
Greater San Diego Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Statistics', 'Big Data', 'Image Processing', 'Technical Writing', 'Fluorescence Microscopy', 'Research', 'Science', 'Microscopy', 'Laboratory', 'Life Sciences', 'Cancer', 'Biomedical Engineering', 'Analytical Skills', 'Statistical Modeling', 'Programming']}, {'\n  Tools & Technologies': ['Matlab', 'Pandas', 'pandas', 'Git', 'PostgreSQL', 'git', 'Microsoft Excel', 'Adobe Creative Suite', 'Microsoft Office', 'Microsoft PowerPoint', 'Microsoft Word', 'Bash']}, {'\n  Interpersonal Skills': ['Teaching', 'Leadership', 'Public Speaking']}, {'\n  Other Skills': ['Data Wrangling', 'NumPy', 'ImageJ', 'Two-photon Microscopy', 'Optical Imaging', 'Animal Surgery', 'Experimentation', 'Spark']}]","Python,SQL,Machine Learning"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Industrial Engineering', 'Systems Engineering', 'Project Management', 'Product Development', 'Manufacturing Engineering', 'Machine Learning']}, {'\n  Tools & Technologies': ['VBA', 'R', 'C++', 'SolidWorks', 'Microsoft Office', 'Matlab', 'Python', 'AutoCAD', 'Amazon Web Services (AWS)', 'SQL']}, {'\n  Interpersonal Skills': ['Leadership', 'Teamwork']}, {'\n  Other Skills': []}]","Operations Research,Data Mining,Data Analytics"
"Cambridge, Massachusetts","[{'\n  Tools & Technologies': ['Matlab', 'JavaScript', 'Node.js', 'React.js', 'Arduino']}, {'\n  Other Skills': ['Scikit', 'in Vivo Electrophysiology', 'Flask']}]","Python,Data Science,Machine Learning"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Operations Research', 'Data Mining', 'Data Analysis', 'Optimization', 'Analytics']}, {'\n  Tools & Technologies': ['R', 'C++', 'Java']}, {'\n  Other Skills': []}]","Machine Learning,Python,SQL"
United States,"[{'\n  Industry Knowledge': ['Machine Learning', 'Analytics', 'Statistics', 'Shell Scripting', 'Genomics', 'Research', 'Molecular Biology', 'Genetics', 'Big Data', 'Statistical Modeling', 'Data Mining', 'Data Collection', 'Statistical Data Analysis']}, {'\n  Tools & Technologies': ['R', 'SQL', 'Java', 'Microsoft Excel']}, {'\n  Other Skills': ['Natural Language Processing', 'Deep Learning', 'Time Series Analysis']}]","Data Science,Python,Data Analysis"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Software Development', 'Programming', 'Data Mining', 'Web Development', 'Data Analysis', 'Data Warehousing', 'Social Media Measurement', 'Project Management', 'Consulting', 'Data Structures']}, {'\n  Tools & Technologies': ['SQL', 'MySQL', 'Tableau', 'R programming', 'Microsoft Office', 'Eclipse', 'HTML', 'Databases', 'PowerPoint', 'JavaScript', 'Linux', 'Visual C++', 'CSS', 'C#', 'XML', 'HTML5', 'PHP', 'Bootstrap', 'Microsoft Excel', 'Python', 'Microsoft Word', 'Matlab', 'Adobe Photoshop', 'PostgreSQL', 'Microsoft PowerPoint']}, {'\n  Interpersonal Skills': ['Leadership', 'Public Speaking', 'Management']}, {'\n  Languages': ['English']}]","C,Java,C++"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Analysis', 'Data Analysis', 'Physics', 'Numerical Analysis', 'Algorithms', 'Mathematical Modeling', 'Simulations', 'Optimization']}, {'\n  Tools & Technologies': ['LaTeX', 'R', 'Python', 'C++', 'Matlab', 'Fortran', 'Microsoft Office']}, {'\n  Other Skills': ['Meteorology']}]","Research,Statistics,Science"
"Bengaluru Area, India","[{'\n  Industry Knowledge': ['Market Research', 'Management Consulting', 'SAS programming', 'Segmentation', 'Statistics', 'Statistical Data Analysis']}, {'\n  Tools & Technologies': ['SAS', 'Visual Basic for Applications (VBA)', 'VBA', 'Microsoft Office', 'Microsoft Excel', 'Matlab']}, {'\n  Other Skills': ['Predictive Modeling', 'Predictive Analytics', 'Data Analytics', 'Discrete Choice', 'Regression Models', 'Latent Class Analysis', 'Structural Equation Modeling', 'Multivariate Analysis', 'CART', 'Factor Analysis', 'Classification']}]","Analytics,Data Analysis,Statistical Modeling"
"Montreal, Quebec, Canada","[{'\n  Industry Knowledge': ['Multilingual', 'Entrepreneurship', 'Data Analysis']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Microsoft Project']}, {'\n  Interpersonal Skills': ['Teamwork', 'Time Management']}, {'\n  Other Skills': ['Hard working', 'Multicultural Education', 'Reliable']}]","Public Speaking,R,SQL"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Algorithms']}, {'\n  Tools & Technologies': ['SQL', 'Linux', 'HBase', 'Java', 'SAS', 'Matlab', 'Python', 'Perl', 'Mathematica']}, {'\n  Other Skills': []}]","Statistical Modeling,Machine Learning,R"
