title,island,locality,price,beds,size,link,date,ad_type
"Penthouse in calle d'Alòs, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,179000,2,73,https://www.idealista.com/en/inmueble/90305723/,2020-10-01,sale
"Flat / Apartment in Esperanto, 43, Son Ferriol, Palma de Mallorca",Mallorca,Palma de Mallorca,170000,3,94,https://www.idealista.com/en/inmueble/89752922/,2020-10-01,sale
"Flat / Apartment in cotlliure, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,159000,3,75,https://www.idealista.com/en/inmueble/91211477/,2020-10-01,sale
"Flat / Apartment in Son Gotleu, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,3,90,https://www.idealista.com/en/inmueble/91180186/,2020-10-01,sale
"Flat / Apartment in des Galió, Cala d'Or",Mallorca,Cala d'Or,169500,3,90,https://www.idealista.com/en/inmueble/91142762/,2020-10-01,sale
"Flat / Apartment in Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,176000,3,89,https://www.idealista.com/en/inmueble/91084505/,2020-10-01,sale
"Flat / Apartment in calle d'En Llorenç Villalonga, 8, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,177000,2,85,https://www.idealista.com/en/inmueble/87367632/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,160000,3,73,https://www.idealista.com/en/inmueble/90904546/,2020-10-01,sale
Flat / Apartment in Muro,Mallorca,Muro,159900,3,149,https://www.idealista.com/en/inmueble/90354051/,2020-10-01,sale
"Flat / Apartment in calle d'Aragó, El Vivero, Palma de Mallorca",Mallorca,Palma de Mallorca,191000,3,105,https://www.idealista.com/en/inmueble/88473586/,2020-10-01,sale
"Flat / Apartment in Son Dameto, Palma de Mallorca",Mallorca,Palma de Mallorca,199000,2,100,https://www.idealista.com/en/inmueble/86062961/,2020-10-01,sale
"Flat / Apartment in calle de Martí Boneo, Son Dameto, Palma de Mallorca",Mallorca,Palma de Mallorca,179000,3,75,https://www.idealista.com/en/inmueble/91120809/,2020-10-01,sale
Flat / Apartment in Pobla (Sa),Mallorca,Pobla (Sa),155000,3,180,https://www.idealista.com/en/inmueble/89746428/,2020-10-01,sale
"Flat / Apartment in monturiol, 42, Cala Ratjada",Mallorca,Cala Ratjada,185000,2,92,https://www.idealista.com/en/inmueble/89258391/,2020-10-01,sale
"Flat / Apartment in llevant, 13, Porto Cristo, Manacor",Mallorca,Manacor,149000,3,102,https://www.idealista.com/en/inmueble/88795557/,2020-10-01,sale
"Flat / Apartment in avenida des Tren, 20, Son Servera",Mallorca,Son Servera,155000,2,90,https://www.idealista.com/en/inmueble/87420674/,2020-10-01,sale
"Flat / Apartment in calle Rodríguez de la Fuente, 21, Muro",Mallorca,Muro,199000,3,190,https://www.idealista.com/en/inmueble/85645107/,2020-10-01,sale
